시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
양평군,두물머리 생태학교,경기도 양평군 양서면 두물머리길 108-22,031-771-0551,2021/03/05,37.536185,127.3142788
포천시,비둘기낭마을,경기도 포천시 영북면 비둘기낭길 25,031-536-9668,2021/03/05,38.07187855,127.2281889
파주시,임진각평화누리,경기도 파주시 문산읍 임진각로 148-40,031-956-8300,2021/03/05,37.89204436,126.7447898
안성시,안성천문대,경기도 안성시 미양면 강덕리 천문대길 60,031-677-2245,2021/03/05,36.95556386,127.2339037
여주시,도리늘향골마을,경기도 여주시 점동면 도리 133-1,010-9174-7876,2021/03/05,37.22625901,127.7074977
양주시,맹골마을,경기도 양주시 남면 휴암로 443번길 29-6,031-867-6978,2021/03/05,37.89333729,126.9582067
화성시,배혜정도가,경기도 화성시 정남면 서봉로835,031-354-9376,2021/03/05,37.14958947,126.9609458
남양주시,고로쇠마을,경기도 남양주시 수동면 비룡로1705번길30,031-511-2521,2021/03/05,37.76397976,127.2818298
가평군,별바라기마을,경기도 가평군 조종면 명지산로 325,031-585-3823,2021/03/05,37.90133806,127.3725926
가평군,아홉마지기 마을,경기도 가평군 가평읍 용추로 238,031-582-3115,2021/03/05,37.84804886,127.4876674
광명시,오리서원,경기도 광명시 오리로 287,02-898-6306,2021/03/05,37.42851741,126.880501
광명시,광명시자원회수시설,경기도 광명시 가학로 142,,2021/03/05,37.41239657,126.8610394
광명시,안터생태공원 생태체험,경기도 광명시 안재로1번길 27,02-2619-1050,2021/03/05,37.45933257,126.8698217
파주시,도라전망대,경기도 파주시 장단면 제3땅굴로 310,031-954-0303,2021/03/05,37.90890549,126.7048144
고양시,배다골테마파크,경기도 고양시 덕양구 배다골길 131,031-970-6330,2021/03/05,37.63016381,126.8481073
고양시,아쿠아플라넷일산,경기도 고양시 일산서구 한류월드로 282,031-960-8500,2021/03/05,37.66382191,126.7556343
부천시,플레이아쿠아리움부천,경기도 부천시 조마루로 2,032-326-9500,2021/03/05,37.4998691,126.7442661
안산시,별빛마을포토랜드,경기도 안산시 상록구 수인로 1723,031-484-5050,2021/03/05,37.33944362,126.863453
이천시,이천시몬스테라스,경기도 이천시 사실로 988,031-631-4071,2021/03/05,37.19773088,127.4463182
안양시,삼막애견공원,경기도 안양시 만안구 석수동 18,070-4140-4000,2021/03/05,37.42885296,126.9148134
파주시,파주산머루농원,경기도 파주시 적성면 윗배우니길 441-25,031-958-4558,2021/03/05,37.96024784,126.9579204
파주시,파주팜랜드,경기도 파주시 탄현면 새오리로 318-34,031-942-1533,2021/03/05,37.81003058,126.6923913
안성시,안성 서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021/03/05,37.08137613,127.4762155
안성시,안성 서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021/03/05,37.08137613,127.4762155
안성시,안성 서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021/03/05,37.08137613,127.4762155
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021/03/05,37.4246681,126.8634442
여주시,오감도토리마을,경기도 여주시 강천면 강천로 776,031-886-8668,2021/03/05,37.26836895,127.6900918
가평군,가평아홉마지기마을,경기도 가평군 가평읍 용추로 238,010-4580-8380,2021/03/05,37.84804886,127.4876674
양평군,외갓집체험마을,경기도 양평군 청운면 신론로 344,031-772-3885,2021/03/05,37.56187963,127.7750655
양평군,신론리 외갓집체험마을,경기도 양평군 청운면 상고론길 9-8,031-772-3402,2021/03/05,37.56236305,127.7764826
화성시,행복텃밭,경기도 화성시 매송면 화성로 2148-28,031-295-6212,2021/03/05,37.24788422,126.9038799
화성시,시화호 환경학교,경기도 화성시 송산면 공룡로540번길 27,031-356-8152,2021/03/05,,
의정부시,의정부 부대찌개거리,경기도 의정부시 호국로1309번길 7,031-828-2114,2021/03/05,37.74409547,127.0494983
평택시,수도사,경기도 평택시 포승읍 호암길 58,031-682-3169,2021/03/05,37.0023403,126.8216664
파주시,헤이리예술마을,경기도 파주시 탄현면 헤이리마을길 82-105,031-946-8551,2021/03/05,37.78807106,126.7037375
이천시,부래미마을,경기도 이천시 율면 금율로 640번길 177,031-643-0817,2021/03/05,37.0589052,127.5477801
